Fly,Light,Value,Genotype
0,On,0.293242689,OK371 ACR
0,Off,0.716567572,OK371 ACR
2,On,0.052326056,OK371 ACR
2,Off,2.464669637,OK371 ACR
3,On,1.270908455,OK371 ACR
3,Off,0.800479125,OK371 ACR
4,On,0.946120755,OK371 ACR
4,Off,2.016750271,OK371 ACR
5,On,0.288435033,OK371 ACR
5,Off,0.055669356,OK371 ACR
6,On,0.02576687,OK371 ACR
6,Off,0.353530153,OK371 ACR
7,On,0.016450465,OK371 ACR
7,Off,2.00675611,OK371 ACR
8,On,0.04541181,OK371 ACR
8,Off,0.087540194,OK371 ACR
9,On,0.033124115,OK371 ACR
9,Off,0.159356715,OK371 ACR
10,On,0.574357376,OK371 ACR
10,Off,2.636930475,OK371 ACR
11,On,0.058596579,OK371 ACR
11,Off,0.247396494,OK371 ACR
12,On,0.57285319,OK371 ACR
12,Off,0.121895283,OK371 ACR
13,On,1.022030873,OK371 ACR
13,Off,1.04349503,OK371 ACR
14,On,0.785225196,OK371 ACR
14,Off,0.662827994,OK371 ACR
15,On,0.08503317,OK371 ACR
15,Off,1.450029968,OK371 ACR
16,On,0.680529057,OK371 ACR
16,Off,0.482579374,OK371 ACR
17,On,0.050965769,OK371 ACR
17,Off,0.103513012,OK371 ACR
18,On,0.056918529,OK371 ACR
18,Off,0.468745055,OK371 ACR
19,On,0.174621827,OK371 ACR
19,Off,0.909139056,OK371 ACR
20,On,0.036386519,OK371 ACR
20,Off,0.790690788,OK371 ACR
21,On,0.040315293,OK371 ACR
21,Off,0.436426646,OK371 ACR
22,On,0.760181565,OK371 ACR
22,Off,1.090406155,OK371 ACR
23,On,0.288736653,OK371 ACR
23,Off,0.315253456,OK371 ACR
24,On,0.018241174,OK371 ACR
24,Off,0.318688993,OK371 ACR
25,On,0.048073388,OK371 ACR
25,Off,0.400801591,OK371 ACR
26,On,0.06220509,OK371 ACR
26,Off,0.430186064,OK371 ACR
27,On,0.053803537,OK371 ACR
27,Off,0.093282562,OK371 ACR
28,On,0.467273061,OK371 ACR
28,Off,1.032925821,OK371 ACR
29,On,0.022285594,OK371 ACR
29,Off,0.069324799,OK371 ACR
30,On,0.388990459,OK371 ACR
30,Off,0.073128647,OK371 ACR
31,On,0.047637032,OK371 ACR
31,Off,0.076747839,OK371 ACR
32,On,0.03470137,OK371 ACR
32,Off,0.639290166,OK371 ACR
33,On,0.019065759,OK371 ACR
33,Off,0.063414965,OK371 ACR
